sample	site	time	region	cov	PC1	PC2	category
I22260	Akhziv	Punic_Early	Israel	600271	-0.019805	-0.004403	_Ph_Akhziv
I11794	Akhziv	Punic_Early	Israel	563543	-0.023459	-0.004338	_Ph_Akhziv
I22252	Akhziv	Punic_Early	Israel	530139	-0.019296	-0.008565	_Ph_Akhziv
I22254	Akhziv	Punic_Early	Israel	477118	-0.026655	-0.007013	_Ph_Akhziv
I22258	Akhziv	Punic_Early	Israel	354648	-0.017916	-0.005261	_Ph_Akhziv
I22256	Akhziv	Punic_Early	Israel	339983	-0.020603	-0.004761	_Ph_Akhziv
I22253	Akhziv	Punic_Early	Israel	312990	-0.026817	-0.009401	_Ph_Akhziv
I11788	Akhziv	Punic_Early	Israel	274337	-0.022172	-0.004758	_Ph_Akhziv
I11805	Akhziv	Punic_Early	Israel	193714	-0.019546	-0.003481	_Ph_Akhziv
I11804	Akhziv	Punic_Early	Israel	105094	-0.023068	-0.004828	_Ph_Akhziv
I11806	Akhziv	Punic_Early	Israel	101314	-0.024058	-0.003778	_Ph_Akhziv
I22251	Akhziv	Punic_Early	Israel	50486	-0.02574	0.000178	_Ph_Akhziv
I22271	Akhziv	Punic_Early	Israel	44893	-0.016004	-0.006166	_Ph_Akhziv
I35328	Carthage	Punic_Late	Tunisia	1077242	-0.017482	-0.018609	_Ph_Carthage
I31735	Carthage	Punic_Late	Tunisia	995909	-0.022687	-0.032176	_Ph_Carthage
I35325	Carthage	Punic_Late	Tunisia	803743	-0.007011	-0.016093	_Ph_Carthage
I35339	Carthage	Punic_Late	Tunisia	759862	-0.004877	-0.015428	_Ph_Carthage
I28504	Carthage	Punic_Late	Tunisia	679772	-0.007525	-0.010344	_Ph_Carthage
I35338	Carthage	Punic_Late	Tunisia	627665	-0.005109	-0.012686	_Ph_Carthage
I35336	Carthage	Punic_Late	Tunisia	609059	-0.008035	-0.011476	_Ph_Carthage
I28502	Carthage	Punic_Late	Tunisia	566734	-0.005591	-0.011089	_Ph_Carthage
I35343	Carthage	Punic_Late	Tunisia	473708	-0.007121	-0.015498	_Ph_Carthage
I35327	Carthage	Punic_Late	Tunisia	416211	-0.004185	-0.014088	_Ph_Carthage
I35287	Carthage	Punic_Late	Tunisia	376579	-0.005807	-0.01367	_Ph_Carthage
I35344	Carthage	Punic_Late	Tunisia	322966	0.000115	-0.010968	_Ph_Carthage
